"province","zone_sante","annee","dtc1_vaccinated","survivants_admin","cv_dtc1_admin","survivants_ecv","cv_dtc1_ecv","variation_ecv_dtc1","survivants_ihme","cv_dtc1_ihme","variation_ihme_dtc1","naiss_dhis2","naiss_ecv","bcg","variation_bcg","pop_adj","bcg_adj","bcg_eds","bcg_eds_2024","pop_adj_2024","bcg_eds_2024_2025","pop_adj_2024_2025"
"tshopo","tshopo",2023,1947,2756,0.7064586357039188,3305.602716468591,0.589,-0.19942043413228994,4642.095004263924,0.419422695617305,-0.6843595806472874,7346,1949.3293591654246,1308,0.38273294516611,3305.602716468591,5876.8,3487.4108658743635,3592.0331918505944,3404.770797962649,3699.7941876061122,3506.9139219015283
"tshopo","ubundu",2023,6958,6409,1.085660789514745,12790.441176470587,0.544,-0.9956999807256338,11710.650129324647,0.594160010175393,-0.8272195552074657,5058,7230.769230769231,4324,0.015686192380992187,7690.8,5058,8113.794,8357.20782,7921.524,8607.9240546,8159.169720000001
"tshopo","yabaondo",2023,3641,3399,1.0711974110032363,14222.65625,0.256,-3.1843648867313914,6539.822021978198,0.556742979818685,-0.9240429602760217,8338,5281.501340482574,1970,-0.3556214939636997,4078.8,10005.6,4303.134,4432.2280200000005,4201.164000000001,4565.1948606000005,4327.198920000001
"tshopo","yahisuli",2023,6157,7275,0.8463230240549828,11529.96254681648,0.534,-0.5848745768819903,19383.96363094387,0.317633695420847,-1.6644623547689166,4796,5397.496087636932,3449,0.3526629782157673,8730,3836.8,9210.15,9486.4545,8991.9,9771.048135000001,9261.657
"tshopo","yahuma",2023,3778,4184,0.902963671128107,10523.676880222842,0.359,-1.5152191396326102,10613.44145125834,0.355963710484508,-1.5366733870120317,10524,4675.15923566879,2936,0.02519615603236244,5020.8,10524,5296.944,5455.852320000001,5171.424,5619.527889600001,5326.56672
"tshopo","yakusu",2023,7903,9183,0.8606120004355875,14087.344028520498,0.561,-0.5340677369618314,21999.374813607134,0.359237481381144,-1.395663161669077,8150,9016.949152542373,5320,0.14320133480213107,11019.6,6982.909121362632,11625.678,11974.44834,11350.188,12333.681790200002,11690.69364
"tshopo","yaleko",2023,5762,7111,0.8102939108423569,8314.574314574314,0.6930000000000001,-0.1692552826008036,13042.182625318597,0.441797217960613,-0.8340855892727601,7707,3835.308056872038,3237,0.5294100543715291,8314.574314574314,6165.6,8771.875901875901,9035.032178932179,8564.011544011544,9306.083144300144,8820.93189033189
"tshopo","yalimbongo",2023,6099,6725,0.9069144981412639,12472.39263803681,0.489,-0.8546308755445071,14923.335033887077,0.408688807572217,-1.2190832764144353,5361,7580.77709611452,3707,0.016377696105550833,8070,5361,8513.85,8769.265500000001,8312.1,9032.343465000002,8561.463
"tshuapa","befale",2023,4460,4677,0.9536027367970922,20180.995475113123,0.221,-3.3149445103940822,11595.011043584884,0.384648189056065,-1.4791556646535993,8903,15538.461538461539,3434,-1.898425953826066,5612.4,10683.6,5921.081999999999,6098.714459999999,5780.772,6281.675893799999,5954.19516
"tshuapa","bokungu",2023,10802,11383,0.94895897390846,22598.326359832638,0.478,-0.9852698198921759,17887.126356805293,0.603898009357456,-0.5713894717390224,9553,8272.340425531915,5832,0.3659584252677309,13659.6,7642.4,14410.878,14843.20434,14069.388,15288.5004702,14491.469640000001
"tshuapa","djolu",2023,3571,4183,0.8536935213961272,5873.355263157895,0.608,-0.4041011865067882,5845.936564358392,0.610851650661373,-0.3975463935831682,11353,3597.7808599167824,2594,0.249524226133337,5019.6,9082.4,5295.678000000001,5454.548340000001,5170.188,5618.184790200002,5325.29364
"tshuapa","ikela",2023,9180,9905,0.9268046441191318,62448.97959183674,0.147,-5.30479349740906,21405.63985012139,0.428858939245768,-1.1610943816376973,9183,56399.99999999999,4794,-3.967849907513432,11886,11019.6,12539.73,12915.9219,12242.58,13303.399556999999,12609.8574
"tshuapa","lingomo",2023,7370,8012,0.9198701947079381,10380.281690140846,0.71,-0.2955918235323073,12469.994170574437,0.591018720553299,-0.556414649347783,6477,7738.434163701067,4349,0.1573087048131257,9614.4,5458.111518925385,10143.192,10447.48776,9902.832,10760.9123928,10199.91696
"tshuapa","mompono",2023,4680,5651,0.8281720049548752,14857.142857142857,0.315,-1.629117476047223,9432.95613868841,0.496132912227314,-0.669254315818158,6828,8957.957957957957,2983,-0.3830412162973532,6781.2,8193.6,7154.166,7368.790980000001,6984.636,7589.8547094000005,7194.175080000001
"tshuapa","mondombe",2023,4889,5957,0.8207151250629512,6633.649932157395,0.737,-0.11358904350468267,10237.271581902869,0.477568653023001,-0.7185280479944383,8078,7009.310986964618,3764,-0.026554040270154917,6633.649932157395,8078,6998.500678426051,7208.455698778833,6832.659430122117,7424.709369742198,7037.63921302578
"tshuapa","monkoto",2023,6321,7048,0.896850170261067,13335.443037974685,0.474,-0.8920889667955001,9456.659830409508,0.66841782546452,-0.3417508272431197,5994,9187.5,3969,-0.13734835355285963,8457.6,6817.266031195841,8922.768,9190.45104,8711.328000000001,9466.1645712,8972.667840000002
"tshuapa","wema",2023,4914,5230,0.9395793499043977,10280.334728033473,0.478,-0.9656471755322128,7470.470636895776,0.657789882170252,-0.4283882670928826,5253,8813.807531380753,4213,-0.4704383602570492,6276,6303.6,6621.18,6819.8154,6464.28,7024.409862,6658.2083999999995
"tshuapa","yalifafu",2023,3958,4583,0.863626445559677,6051.987767584098,0.654,-0.3205297332716775,5756.9139898644125,0.687521127980795,-0.25614531744804986,8087,3661.6915422885572,2208,0.3029332681727475,5499.6,6469.6,5802.078,5976.140340000001,5664.588000000001,6155.424550200001,5834.525640000001
"lomami","ngandajika",2023,6100,7056,0.8645124716553289,19741.100323624596,0.309,-1.7977749891758215,12513.199389975875,0.487485239377438,-0.7734126119580321,15538,13534.426229508197,4128,-0.6736028477195742,8467.2,18645.6,8932.896,9200.882880000001,8721.216,9476.909366400001,8982.852480000001
"equateur","djombo",2023,2595,4013,0.6466483927236482,3268.2619647355164,0.794,0.18558136936568245,3534.934949071442,0.734101203384706,0.11912909317930671,4600,2480.8959156785245,1883,0.4606748009394512,3268.2619647355164,3680,3448.01637279597,3551.456863979849,3366.309823677582,3658.0005698992445,3467.2991183879094
"equateur","monieka",2023,2275,3381,0.6728778467908902,2451.508620689655,0.9280000000000002,0.2749161133718856,2951.246891290472,0.770860617156034,0.12710828414952027,3875,2123.693379790941,1219,0.45195009553782167,2704.8,3100,2853.5640000000003,2939.1709200000005,2785.9440000000004,3027.3460476000005,2869.5223200000005
